>>> Metrics Info
  Metrics Server            | http://localhost:2444/submit
  Metrics Format            | monarchjson
  Export Interval (seconds) | 30

>>> Root Labels
  hostname                  | testHost
  username                  | testUser

>>> Metrics
  Metric Name               | /santa/rules
  Description               | Number of rules
  Type                      | SNTMetricTypeGaugeInt64
  Field                     | rule_type=binary
  Created                   | 2021-09-16T21:07:34.826Z
  Last Updated              | 2021-09-16T21:07:34.826Z
  Data                      | 1
  Field                     | rule_type=certificate
  Created                   | 2021-09-16T21:07:34.826Z
  Last Updated              | 2021-09-16T21:07:34.826Z
  Data                      | 3

  Metric Name               | /proc/memory/resident_size
  Description               | The resident set size of this process
  Type                      | SNTMetricTypeGaugeInt64
  Created                   | 2021-09-16T21:07:34.826Z
  Last Updated              | 2021-09-16T21:07:34.826Z
  Data                      | 123456789

  Metric Name               | /santa/events
  Description               | Count of process exec events on the host
  Type                      | SNTMetricTypeCounter
  Field                     | rule_type=certificate,client=authorizer
  Created                   | 2021-09-16T21:07:34.826Z
  Last Updated              | 2021-09-16T21:07:34.826Z
  Data                      | 2
  Field                     | rule_type=binary,client=authorizer
  Created                   | 2021-09-16T21:07:34.826Z
  Last Updated              | 2021-09-16T21:07:34.826Z
  Data                      | 1

  Metric Name               | /santa/using_endpoint_security_framework
  Description               | Is santad using the endpoint security framework
  Type                      | SNTMetricTypeConstantBool
  Created                   | 2021-09-16T21:07:34.826Z
  Last Updated              | 2021-09-16T21:07:34.826Z
  Data                      | 1

  Metric Name               | /proc/birth_timestamp
  Description               | Start time of this santad instance, in microseconds since epoch
  Type                      | SNTMetricTypeConstantInt64
  Created                   | 2021-09-16T21:07:34.826Z
  Last Updated              | 2021-09-16T21:07:34.826Z
  Data                      | 1250999830800

  Metric Name               | /proc/memory/virtual_size
  Description               | The virtual memory size of this process
  Type                      | SNTMetricTypeGaugeInt64
  Created                   | 2021-09-16T21:07:34.826Z
  Last Updated              | 2021-09-16T21:07:34.826Z
  Data                      | 987654321

  Metric Name               | /build/label
  Description               | Software version running
  Type                      | SNTMetricTypeConstantString
  Created                   | 2021-09-16T21:07:34.826Z
  Last Updated              | 2021-09-16T21:07:34.826Z
  Data                      | 20210809.0.1

